Numéro de la cellule,Centre de la cellule,Surface
37,"(776.7884816753926, 851.3371727748691)",955
38,"(86.88228299643282, 880.6813317479191)",841
39,"(467.33748960931007, 895.8609032973122)",3609
40,"(222.2037037037037, 876.6111111111111)",108
41,"(854.8402282453637, 899.5106990014266)",701
42,"(676.8452950558213, 921.0398724082935)",627
43,"(603.1498973305955, 950.4004106776181)",487
44,"(743.2506738544474, 964.5)",742
45,"(35.19282868525897, 974.4525896414343)",1255
46,"(856.4082125603865, 1014.2874396135265)",414
1,"(74.54140127388536, 11.154458598726114)",628
2,"(4.454545454545454, 20.041958041958043)",143
3,"(144.3927381745503, 66.34810126582279)",3002
4,"(208.2710472279261, 136.48613963039014)",1948
5,"(16.19653767820774, 144.88289205702648)",982
6,"(86.92557442557442, 148.54495504495503)",2002
7,"(599.7713663581927, 312.1115949918345)",1837
8,"(172.5043103448276, 320.3913793103448)",1160
9,"(232.65893271461718, 357.4141531322506)",862
10,"(110.51937984496124, 413.21317829457365)",1032
11,"(623.7665580890337, 425.74104234527687)",1842
12,"(190.56184316895715, 434.09458367016975)",1237
13,"(468.0446168768186, 450.7158098933075)",1031
14,"(379.3176470588235, 455.4166666666667)",1020
15,"(32.814872192099145, 480.5034856700232)",1291
16,"(559.0789149198521, 486.3119605425401)",1622
17,"(488.3997722095672, 501.6719817767654)",878
18,"(487.3864598025388, 562.8448519040903)",709
19,"(771.1899441340782, 571.0083798882681)",358
20,"(25.99099099099099, 579.2072072072073)",333
21,"(797.0962962962963, 597.3506172839507)",405
22,"(592.5989096573209, 621.4306853582555)",1284
23,"(727.3844580777096, 609.7157464212679)",489
24,"(56.52400835073069, 618.7578288100209)",479
25,"(511.4983012457531, 620.8697621744054)",883
26,"(1011.0901045856798, 643.35961383749)",1243
27,"(760.0462724935733, 630.3470437017995)",389
28,"(102.47753530166881, 659.7240051347882)",1558
29,"(672.9920634920635, 702.6269841269841)",126
30,"(767.7221911682504, 726.6936836221353)",1789
31,"(946.5, 708.5)",46
32,"(107.510353227771, 726.5858708891595)",821
33,"(863.5964266946926, 744.3079348397267)",1903
34,"(190.08, 767.2218181818182)",825
35,"(225.86471663619744, 770.8976234003657)",547
36,"(700.9396790260099, 803.8234643054786)",1807
37,"(130.28795180722892, 822.4819277108434)",830
38,"(775.8949211908931, 854.237302977233)",1142
39,"(86.94994438264739, 878.1701890989989)",899
40,"(221.26470588235293, 876.3319327731092)",476
41,"(470.58613276001074, 895.3558183284064)",3721
42,"(855.9807692307693, 898.3894230769231)",832
43,"(677.4771428571429, 920.39)",700
44,"(601.5920577617328, 951.6263537906137)",554
45,"(746.6936026936027, 962.368125701459)",891
46,"(35.60105184072126, 974.5995492111194)",1331
47,"(856.8549618320611, 1015.1730279898219)",393
